,name,o-grade,abv-comment,location
103,athena natural,1,x,"Italy, Arco, Massone"
104,beginning,0,x,"Italy, Arco, Eremo di San Paolo"
105,mia l3,1,hard,"Croatia, VranjaAa"
106,genius loci,1,x,"Croatia, Paklenica, Klanci"
107,orca,1,hard,"Austria, Wilder Kaiser, Schleierwasserfall"
108,walk the line,1,hard,"Austria, Zillertal, Monkey Island"
109,la sensacion del bloque,1,x,"Chile, Valle de los CA3ndores"
110,the assassin,0,x,"United States, Smith Rocks (OR), Aggro Gully"
111,macedonian trip,1,amazing,"North Macedonia, Mavrovo"
112,interklemezzo,2,hard,"Bosnia & Herzegovina, Kanjon Tijesno"
113,honour and glory,0,x,"Canada, Echo Canyon"
114,underground dreaming,1,x,"Italy, Arco, Unknown Crag"
115,retour gagnant,1,x,"France, Saint LA(c)ger, Praniania"
116,la teoria del gesto,1,x,"Italy, Sperlonga, Unknown Crag"
117,climb free,1,hard,"Israel, Nezer Cave"
118,mongo,1,x,"Austria, Wilder Kaiser, Schleierwasserfall"
119,ci sta,1,x,"Italy, Arco, Laghel"
120,hello,1,x,"Norway, Trondheim, Hell"
121,flammen inuti,1,x,"Norway, Flatanger"
122,la terza eta,1,x,"Italy, Camaiore"
123,perfect man 2.0,0,x,"Italy, Oltrefinale / Albenga, Antro di Castelbianco"
124,fabelita r2,1,x,"Spain, Lleida, Santa Linya"
125,happy day,1,x,"Spain, Lleida, Oliana"
126,jungfrau marathon,1,x,"Switzerland, Interlaken, Gimmelwand"
127,little badder,1,x,"Norway, Flatanger"
128,valhalla,1,hard,"Norway, Flatanger"
129,super finale,1,x,"Switzerland, Valais Central, Rawyl"
130,black label,0,x,"Germany, Frankenjura, Schneiderloch"
131,the right of passage,1,not easy,"Norway, Flatanger"
132,geocache,1,hard,"Germany, Frankenjura, Vogelherdgrotte"
133,under vibes,1,hard,"Italy, Arco, Massone"
134,procesor,1,x,"Slovakia, Visnove"
135,proces,1,easy,"Slovakia, Visnove"
136,more,1,x,"Croatia, Istria, Medveja"
137,"bi herri, borroka bat",0,hard,"Spain, Cova de l'Ocell"
138,ciudad de dios,1,x,"Spain, Lleida, Santa Linya"
139,definicia3n de resistencia dema3crata,0,x,"Spain, Lleida, Terradets"
140,ciza agent,1,hard,"Czechia, MoravskA 1/2  kras"
